"Transaction ID","Posting Date","Effective Date","Transaction Type","Amount","Check Number","Reference Number","Description","Transaction Category","Type","Balance","Memo","Extended Description"
"20250130 119193 1,029 202,501,300,001","1/30/2025","1/28/2025","Debit","-10.29000","","35302822","Chick-fil-A","Restaurants & Dining","","","","CHICK-FIL-A #03499       314-845-3499 MO"
"20250127 119193 2,225 202,501,270,004","1/27/2025","1/25/2025","Debit","-22.25000","","35190068","ZX 64 SAINT LOUIS MO","Restaurants & Dining","","","","ZX 64                    SAINT LOUIS  MO"
"20250127 119193 1,836 202,501,270,003","1/27/2025","1/25/2025","Debit","-18.36000","","35190069","Target","Shopping","","","","TARGET        00015099   SAINT LOUIS  MO"
"20250127 119193 1,800 202,501,270,002","1/27/2025","1/25/2025","Debit","-18.00000","","35190070","Briteworx","Automotive Expenses","","","","BRITEWORX 2              COLUMBIA     IL"
"20250127 119193 1,500 202,501,270,001","1/27/2025","1/26/2025","Debit","-15.00000","","35190071","Starbucks","Restaurants & Dining","","","","STARBUCKS 800-782-7282   800-782-7282 WA"
"20250126 119193 5,414 202,501,260,001","1/26/2025","1/24/2025","Debit","-54.14000","","35190067","THE PORT OF PERI PERI BALLWIN MO","Restaurants & Dining","","","","THE PORT OF PERI PERI    BALLWIN      MO"
"20250123 119193 3,976 202,501,230,001","1/23/2025","1/22/2025","Debit","-39.76000","","35096906","Amazon","Shopping","","","","Amazon.com*ZG4325BW0     Amzn.com/billWA"
"20250121 119193 1,299 202,501,210,001","1/21/2025","1/20/2025","Debit","-12.99000","","35096907","Amazon Kindle","Hobbies","","","","Kindle Svcs*ZC7NP9LJ2    888-802-3080 WA"
"20250120 119193 1,529 202,501,200,001","1/20/2025","1/19/2025","Debit","-15.29000","","35027376","Panda Express","Restaurants & Dining","","","","PANDA EXPRESS #2369      GREEN PARK   MO"
"20250119 119193 1,534 202,501,190,003","1/19/2025","1/16/2025","Debit","-15.34000","","35027374","Chick-fil-A","Restaurants & Dining","","","","CHICK-FIL-A #03499       314-845-3499 MO"
"20250119 119193 5,444 202,501,190,002","1/19/2025","1/18/2025","Debit","-54.44000","","35027375","Amazon","Shopping","","","","Amazon.com*Z53763RW0     Amzn.com/billWA"
"20250119 119193 1,199 202,501,190,001","1/19/2025","1/18/2025","Debit","-11.99000","","35027377","Amazon Kindle","Hobbies","","","","Kindle Svcs*ZG9XX3KL2    888-802-3080 WA"
